id,unidade_gestora,gestao,numero,data_emissao,credor,fonte_recurso,programa_trabalho,planointerno,naturezadespesa,empenhado,aliquidar,liquidado,pago,rpinscrito,rpaliquidar,rpliquidado,rppago,informacao_complementar,sistema_origem,links_documento_pagamento,credor_obj_tipo,credor_obj_cnpj_cpf_idgener,credor_obj_nome,contrato_id
759272,113601,11302,2019NE800060,,00.000.000/0001-91 - BANCO DO BRASIL SA,0100000000,,200DIAGNOBS - DIAGNOSTIVOS E ESTRATEGIAS DO DESENV BRASILEI,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022019NE800060,JURIDICA,00.000.000/0001-91,BANCO DO BRASIL SA,2443
50426,113601,11302,2020NE000054,,00.000.000/0001-91 - BANCO DO BRASIL SA,0100000000,,100ADMINIBR - UNIDADE,339039 - OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,"12.000,00","9.631,01","0,00","2.368,99","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE000054,JURIDICA,00.000.000/0001-91,BANCO DO BRASIL SA,2443
55708,113601,11302,2019NE800441,,69.112.514/0001-35 - PRIMASOFT INFORMATICA LTDA.,0100000000,,100INFBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022019NE800441,JURIDICA,69.112.514/0001-35,PRIMASOFT INFORMATICA LTDA.,2447
10085582,113601,11302,2023NE000071,2023-02-01,69.112.514/0001-35 - PRIMASOFT INFORMATICA LTDA.,1000000000,,100INFORBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",11360107000202019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000071,JURIDICA,69.112.514/0001-35,PRIMASOFT INFORMATICA LTDA.,2447
7747914,113601,11302,2021NE000110,2021-07-15,69.112.514/0001-35 - PRIMASOFT INFORMATICA LTDA.,0100000000,,100INFORBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",11360107000202019,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022021NE000110,JURIDICA,69.112.514/0001-35,PRIMASOFT INFORMATICA LTDA.,2447
10167216,113601,11302,2023NE000145,2023-02-23,69.112.514/0001-35 - PRIMASOFT INFORMATICA LTDA.,1000000000,,100INFBRASI - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"9.460,87","616,47","0,00","8.844,40","616,47","0,00","0,00","616,47",11360107000202019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022023NE000145,JURIDICA,69.112.514/0001-35,PRIMASOFT INFORMATICA LTDA.,2447
11612196,113601,11302,2024NE000020,2024-01-23,69.112.514/0001-35 - PRIMASOFT INFORMATICA LTDA.,1000000000,,100INFBRASI - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"4.978,04","0,00","0,00","4.978,04","0,00","0,00","0,00","0,00",11360107000202019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022024NE000020,JURIDICA,69.112.514/0001-35,PRIMASOFT INFORMATICA LTDA.,2447
11680493,113601,11302,2024NE000115,2024-02-14,69.112.514/0001-35 - PRIMASOFT INFORMATICA LTDA.,1000000000,,100INFBRASI - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"16.123,53","10.561,96","0,00","5.561,57","0,00","0,00","0,00","0,00",11360107000202019 - UASG MINUTA: 113601,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022024NE000115,JURIDICA,69.112.514/0001-35,PRIMASOFT INFORMATICA LTDA.,2447
52291,113601,11302,2020NE800088,,69.112.514/0001-35 - PRIMASOFT INFORMATICA LTDA.,0100000000,,100INFORBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"10.495,71","4.087,06","0,00","6.408,65","0,00","0,00","0,00","0,00",,,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022020NE800088,JURIDICA,69.112.514/0001-35,PRIMASOFT INFORMATICA LTDA.,2447
7750288,113601,11302,2021NE000113,2021-07-15,69.112.514/0001-35 - PRIMASOFT INFORMATICA LTDA.,1000000000,,100INFORBSB - INFORMATICA,339040 - SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ,"6.110,19","0,00","0,00","4.849,26","2.521,86","0,00","0,00","1.260,93",11360107000202019,COMPRASNET CONTRATOS,https://sta.api.gov.br/api/ordembancaria/empenho/113601113022021NE000113,JURIDICA,69.112.514/0001-35,PRIMASOFT INFORMATICA LTDA.,2447
